,ADDRTYPE,SDOT_COLCODE,WEATHER,ROADCOND,LIGHTCOND,SPEEDING,YEAR
17365,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
17368,Intersection,11,Overcast,Dry,Daylight,Y,2005
17388,Intersection,11,Clear,Dry,Daylight,,2005
17390,Intersection,11,Clear,Dry,Daylight,,2005
17398,Intersection,11,Clear,Dry,Daylight,,2005
17401,Intersection,11,Raining,Wet,Daylight,,2005
17402,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
17427,Intersection,11,Clear,Dry,Daylight,,2005
17429,Block,11,Clear,Dry,Daylight,,2005
17432,Intersection,11,Overcast,Dry,Daylight,,2005
17436,Intersection,11,Clear,Dry,Daylight,,2005
17438,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
17443,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
17453,Intersection,11,Clear,Dry,Daylight,,2005
17455,Intersection,11,Clear,Dry,Daylight,,2005
17473,Intersection,11,Clear,Dry,Daylight,,2005
17480,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
17487,Intersection,11,Raining,Wet,Daylight,,2005
17489,Intersection,11,Clear,Dry,Daylight,,2005
17490,Intersection,11,Raining,Wet,Dark - No Street Lights,,2005
17500,Intersection,11,Clear,Dry,Daylight,,2005
17513,Intersection,11,Raining,Wet,Daylight,,2005
17523,Intersection,11,Clear,Dry,Daylight,,2005
17531,Intersection,11,Clear,Dry,Daylight,,2005
17549,Intersection,11,Clear,Dry,Daylight,,2005
17551,Block,11,Raining,Wet,Dark - Street Lights On,,2005
17557,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
17562,Intersection,11,Clear,Dry,Daylight,,2005
17570,Block,11,Raining,Wet,Dark - Street Lights On,,2005
17577,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
17578,Intersection,11,Overcast,Dry,Daylight,,2005
17579,Block,11,Overcast,Dry,Daylight,,2005
17588,Block,11,Clear,Dry,Dark - Street Lights On,,2005
17599,Intersection,11,Clear,Dry,Dark - No Street Lights,,2005
17604,Intersection,11,Clear,Dry,Daylight,,2005
17613,Intersection,11,Clear,Dry,Dark - Street Lights Off,,2005
17614,Intersection,11,Clear,Dry,Daylight,,2005
17616,Intersection,11,Clear,Dry,Daylight,,2005
17620,Intersection,11,Overcast,Wet,Daylight,,2005
17627,Intersection,11,Raining,Wet,Daylight,,2005
17629,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
17633,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
17635,Intersection,11,Raining,Wet,Daylight,,2005
17636,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
17638,Intersection,11,Overcast,Wet,Daylight,,2005
17641,Intersection,11,Clear,Dry,Daylight,,2005
17642,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
